,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",100000,100000.0,12832.28,0.1756234633,0.2008,100.0,17.5623,0.1,0.3008126186,300.8126185961,Not specified,99799.1874,17562.3463,2021-12-03 08:53:06,Bank Account,Bank Account,0.17597684700929844,2021-12-03 08:52:51,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",SG,SGD,
1,China Construction Bank,Payment company,"phone, online",100000,100000.0,12832.28,0.1755371437,0.2298,100.0,17.5537,0.1,0.3297857453,329.7857453069,Not specified,99770.2143,17553.7144,2021-12-03 09:01:20,Bank Account,Bank Account,0.17594143199040121,2021-12-03 09:00:55,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",SG,SGD,
2,Chong Hing Bank,Bank,"phone, online",100000,100000.0,12832.28,0.1753309371,0.3733,110.0,19.2864,0.11,0.4832627334,483.2627333582,Not specified,99626.7373,17533.0937,2021-12-03 09:02:43,Bank Account,Bank Account,0.17598783414396263,2021-12-03 09:01:55,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",SG,SGD,
3,CITIC Bank,Payment company,"phone, online",100000,100000.0,12832.28,0.1752817654,0.3818,100.0,17.5282,0.1,0.4817643499,481.7643498931,Not specified,99618.2357,17528.1765,2021-12-03 09:05:18,Bank Account,Bank Account,0.17595349314716904,2021-12-03 09:04:55,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",SG,SGD,
4,DBS Hong Kong,Payment company,"phone, online",100000,100000.0,12832.28,0.1751778888,0.434,100.0,17.5178,0.1,0.5339757925,533.9757924942,Not specified,99566.0242,17517.7889,2021-12-03 09:01:28,Bank Account,Bank Account,0.17594143199040121,2021-12-03 09:00:55,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",SG,SGD,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",100000,100000.0,12832.28,0.1750822887,0.5083,100.0,17.5082,0.1,0.608338653,608.338652967,Not specified,99491.6613,17508.2289,2021-12-03 08:53:07,Bank Account,Bank Account,0.17597684700929844,2021-12-03 08:52:51,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",SG,SGD,
6,Hang Seng Bank,Payment company,"phone, online",100000,100000.0,12832.28,0.175346309,0.3327,65.0,11.3975,0.065,0.3976642519,397.6642519311,Not specified,99667.3357,17534.6309,2021-12-03 08:58:08,Bank Account,Bank Account,0.17593157040278748,2021-12-03 08:57:55,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",SG,SGD,
7,HSBC Hong Kong,Payment company,"phone, online",100000,100000.0,12832.28,0.174638934,0.7347,50.0,8.7319,0.05,0.7847381689,784.7381688694,Not specified,99265.2618,17463.8934,2021-12-03 08:58:29,Bank Account,Bank Account,0.17593157040278748,2021-12-03 08:57:55,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",SG,SGD,
8,InstaReM,Payment company,online,100000,99550.0,12832.28,0.1757,0.17,450.0,79.065,0.4520341537,0.6219936826,619.1947110512,Not specified,99380.8053,17490.935,2021-12-03 08:51:42,Bank Account,Bank Account,0.1759991272876614,2021-12-03 08:50:52,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",SG,SGD,
9,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",100000,100000.0,12832.28,0.1753770607,0.3534,115.0,20.1684,0.115,0.4684486885,468.4486885163,Not specified,99646.5513,17537.7061,2021-12-03 08:51:09,Bank Account,Bank Account,0.1759991272876614,2021-12-03 08:50:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",SG,SGD,
10,OFX,Payment company,,100000,100000.0,12832.28,0.172765,1.6089,0.0,0.0,0.0,1.6089495212,1608.9495211638,Not specified,98391.0505,17276.5,2021-12-03 06:18:51,Bank Account,Bank Account,0.17559015699010305,2021-12-03 06:18:43,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",SG,SGD,
11,Public Bank Hong Kong,Payment company,"phone, online",100000,100000.0,12832.28,0.175417054,0.3044,60.0,10.525,0.06,0.3644383732,364.4383731815,Not specified,99695.5616,17541.7054,2021-12-03 09:06:08,Bank Account,Bank Account,0.17595272164935225,2021-12-03 09:05:55,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",SG,SGD,
12,Shanghai Commercial Bank,Payment company,"phone, online",100000,100000.0,12832.28,0.1748404581,0.6458,170.0,29.7229,0.17,0.8157604774,815.7604773645,Not specified,99354.2395,17484.0458,2021-12-03 08:53:10,Bank Account,Bank Account,0.17597684700929844,2021-12-03 08:52:51,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",SG,SGD,
13,Wing Lung bank,Bank,"phone, online",100000,100000.0,12832.28,0.1764290755,-0.2656,100.0,17.6429,0.1,-0.1655810596,-165.5810596152,Not specified,100265.5811,17642.9076,2021-12-03 08:57:08,Bank Account,Bank Account,0.17596175441973883,2021-12-03 08:56:49,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",SG,SGD,
14,Wise,Payment company,online,100000,99557.91924,12832.28,0.175921,0.006,442.08076,77.7713,0.4440437922,0.4500520389,448.0624454055,Not specified,99551.9376,17514.3287,2021-12-03 08:59:25,Bank Account,Bank Account,0.17593157040278748,2021-12-03 08:58:54,Not specified,"{'pay_in_method': 'REGULAR', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",SG,SGD,
15,Xendpay,Payment company,"phone, online",100000,100000.0,12832.28,0.1757,0.159,0.0,0.0,0.0,0.1590084242,159.0084242004,Not specified,99840.9916,17570.0,2021-12-03 08:46:17,Bank Account,Bank Account,0.17597982274305446,2021-12-03 08:45:55,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",SG,SGD,
