rnamer"provider_type"r"transfer_methods"rsend_amountr"conversion_amount"rsend_amount_usdr"fx_rate"r"fx_margin"r"fee_from_currency"r"fee_to_currency"r"fee_margin"r"total_margin"rtotal_costr"transfer_speed"r"received_amount_from_currency"r"received_amount_to_currency"rcollected_timestamprpay_in_methodrpay_out_methodr"mid-market_rate"r"mid-market_rate_timestamp"r"customer_price_type"r"source_data"r"to_country"r"to_currency"rstatus
12rPublic Bank Hong KongrPayment companyrphone, onliner5000r5000.0r642.18r0.094211637r-0.1791r60.0r5.6527r1.2r1.0208774848r51.0438742391rr5008.9561r471.0582r2021-11-03 15:21:09rBank AccountrBank Accountr0.09404318450393054r2021-11-03 15:20:52rNot specifiedr"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rGBrGBPr
13r"Shanghai Commercial Bank"rPayment companyrphone, onliner5000r5000.0r642.18r0.0938526513r0.1936r170.0r15.955r3.4r3.593628578r179.6814288982rr4990.3186r469.2633r2021-11-03 15:38:12rBank AccountrBank Accountr0.09403472944682054r2021-11-03 15:37:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rGBrGBPr
14r"Skrill"rPayment companyrr5000r5000.0r642.18r0.0914r2.8465r0.0r0.0r0.0r2.8464946836r142.3247341809r"up to 1 hours"r4857.6753r457.0r2021-11-03 14:38:08r"Debit Card"rBank Accountr0.09407792307889937r2021-11-03 14:37:52rNot specifiedr"{'pay_in_method': 'DEBIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': ''}"rGBrGBPr
15r"Skrill"rPayment companyrr5000r5000.0r642.18r0.0914r2.8465r99.4995995996r9.0943r1.989991992r4.8364866756r241.8243337805r"up to 1 hours"r4857.6753r457.0r2021-11-03 14:38:06r"Credit Card"rBank Accountr0.09407792307889937r2021-11-03 14:37:52rNot specifiedr"{'pay_in_method': 'CREDIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': ''}"rGBrGBPr
16r"Western Union"rPayment companyrphone, onliner5000r5000.0r642.18r0.0939458r0.0841r0.0r0.0r0.0r0.0841476043r4.207380216r1 Business daysr4995.7926r469.729r2021-11-03 14:51:27rMobile WalletrBank Accountr0.09402491971740526r2021-11-03 14:50:52rNot specifiedr"{'pay_in_method': 'TapNGo', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}"rGBrGBPr
17r"Western Union"rPayment companyrphone, onliner5000r5000.0r642.18r0.0931912r0.8867r30.0r2.7957r0.6r1.4867008022r74.3350401102r1 Business daysr4955.665r465.956r2021-11-03 14:51:27r"Credit Card"rBank Accountr0.09402491971740526r2021-11-03 14:50:52rNot specifiedr"{'pay_in_method': 'CreditCard', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}"rGBrGBPr
18r"Western Union"rPayment companyrphone, onliner5000r5000.0r642.18r0.0939458r0.0841r0.0r0.0r0.0r0.0841476043r4.207380216r1 Business daysr4995.7926r469.729r2021-11-03 14:51:27rBank AccountrBank Accountr0.09402491971740526r2021-11-03 14:50:52rNot specifiedr"{'pay_in_method': 'WUPay', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}"rGBrGBPr
19r"Western Union"rPayment companyrphone, onliner5000r5000.0r642.18r0.0931912r0.8867r30.0r2.7957r0.6r1.4867008022r74.3350401102r1 Business daysr4955.665r465.956r2021-11-03 14:51:27r"Debit Card"rBank Accountr0.09402491971740526r2021-11-03 14:50:52rNot specifiedr"{'pay_in_method': 'DebitCard', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}"rGBrGBPr
20rWing Lung bankrBankrphone, onliner5000r5000.0r642.18r0.0941796949r-0.1497r100.0r9.418r2.0r1.8503406702r92.5170335107rr5007.483r470.8985r2021-11-03 15:27:08rBank AccountrBank Accountr0.09403895678532667r2021-11-03 15:26:52rNot specifiedr"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rGBrGBPr
21r"Wirebarley Australia Pty Ltd"rPayment companyrr5000r5000.0r642.18r0.0928485r1.2783r20.0r1.857r0.4r1.6782804095r83.9140204758rr4936.086r464.2425r2021-11-03 15:37:23rBank AccountrBank Accountr0.09405073208322631r2021-11-03 15:36:52rNot specifiedr"{'pay_in_method': 'Bank Transfer (Deposit)', 'pay_out_method': 'Bank Deposit', 'location_from': '', 'location_to': ''}"rGBrGBPr
22rWiserPayment companyronliner5000r4845.16637r642.18r0.0940158r0.0219r154.83363r14.5568r3.1956308241r3.1185830586r155.8952281739rr4844.1048r455.5222r2021-11-03 14:59:21r"Credit Card"rBank Accountr0.09403640380737067r2021-11-03 14:58:52rNot specifiedr"{'pay_in_method': 'CREDIT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rGBrGBPr
23rWiserPayment companyronliner5000r4845.16637r642.18r0.0940158r0.0219r154.83363r14.5568r3.1956308241r3.1185830586r155.8952281739rr4844.1048r455.5222r2021-11-03 14:59:20r"Debit Card"rBank Accountr0.09403640380737067r2021-11-03 14:58:52rNot specifiedr"{'pay_in_method': 'DEBIT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rGBrGBPr
24rWiserPayment companyronliner5000r4976.55876r642.18r0.0940158r0.0219r23.44124r2.2038r0.4710331201r0.4907352586r24.5316268492rr4975.4684r467.8752r2021-11-03 14:59:11rBank AccountrBank Accountr0.09403640380737067r2021-11-03 14:58:52rNot specifiedr"{'pay_in_method': 'REGULAR', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rGBrGBPr
25r"WorldRemit"rPayment companyronliner5000r5000.0r642.18r0.092r2.2103r25.0r2.3r0.5r2.7102829961r135.5141498035r"Next working day"r4889.4859r460.0r2021-11-03 15:05:51r"Debit Card"rBank Accountr0.09407942145522508r2021-11-03 15:04:52rNot specifiedr"{'pay_in_method': 'Debit / Credit Card_Debit Card', 'pay_out_method': 'Any GBP account at any bank WOR / BNK', 'location_from': '', 'location_to': ''}"rGBrGBPr
26r"WorldRemit"rPayment companyronliner5000r5000.0r642.18r0.092r2.2103r25.0r2.3r0.5r2.7102829961r135.5141498035r"Next working day"r4889.4859r460.0r2021-11-03 15:05:51r"Credit Card"rBank Accountr0.09407942145522508r2021-11-03 15:04:52rNot specifiedr"{'pay_in_method': 'Debit / Credit Card_Credit Card', 'pay_out_method': 'Any GBP account at any bank WOR / BNK', 'location_from': '', 'location_to': ''}"rGBrGBPr
27rXendpayrPayment companyrphone, onliner5000r5000.0r642.18r0.09357r0.4957r0.0r0.0r0.0r0.4956530231r24.7826511573rr4975.2173r467.85r2021-11-03 15:26:44rBank AccountrBank Accountr0.09403609273649734r2021-11-03 15:25:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rGBrGBPr
